"STATION","NAME","DATE","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-23","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-24","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-25","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-26","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-27","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-28","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-29","54"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-09-30","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-01","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-02","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-03","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-04","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-05","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-06","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-07","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-08","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-09","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-10","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-11","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-12","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-13","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-14","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-15","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-16","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-17","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-18","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-19","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-20","56"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-21","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-22","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-23","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-24","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-25","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-26","54"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-27","53"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-28","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-29","47"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-30","53"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-10-31","55"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-01","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-02","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-03","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-04","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-05","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-06","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-07","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-08","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-09","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-10","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-11","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-12","51"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-13","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-14","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-15","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-16","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-17","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-18","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-19","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-20","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-21","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-22","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-23","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-24","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-25","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-26","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-27","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-28","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-29","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-11-30","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-01","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-02","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-03","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-04","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-05","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-06","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-07","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-08","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-09","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-10","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-11","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-12","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-13","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-14","44"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-15","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-16","54"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-17","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-18","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-19","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-20","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-21","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-22","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-23","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-24","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-25","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-26","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-27","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-28","36"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-29","41"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-30","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-12-31","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-01","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-02","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-03","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-04","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-05","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-06","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-07","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-08","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-09","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-10","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-11","15"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-12","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-13","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-14","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-15","10"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-16","10"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-17","34"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-18","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-19","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-20","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-21","14"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-22","13"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-23","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-24","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-25","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-26","20"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-27","17"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-28","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-29","12"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-30","12"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-31","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-01","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-02","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-03","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-04","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-05","19"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-06","17"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-07","30"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-08","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-09","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-10","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-11","38"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-12","42"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-13","25"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-14","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-15","16"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-16","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-17","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-18","27"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-19","23"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-20","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-21","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-22","37"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-23","35"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-24","29"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-25","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-26","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-27","28"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-28","26"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-01","31"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-02","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-03","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-04","21"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-05","32"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-06","43"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-07","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-08","39"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-09","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-10","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-11","40"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-12","24"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-13","22"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-14","33"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-15","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-16","48"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-17","45"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-18","50"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-19","49"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-20","46"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-21","44"
